LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
20m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 3 to 2
20m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-fqwsx
20m         Normal    Killing             pod/web-deployment-76ddf5fcf9-fqwsx    Stopping container web
20m         Normal    Created             pod/web-deployment-ddd46bfd-srz8l      Container created
20m         Normal    Started             pod/web-deployment-ddd46bfd-srz8l      Container started
20m         Normal    Pulled              pod/web-deployment-ddd46bfd-srz8l      Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
20m         Normal    Scheduled           pod/web-deployment-ddd46bfd-srz8l      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-srz8l to worker-node-1
20m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 2 to 1
20m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-srz8l
20m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-nfnrk
20m         Normal    Killing             pod/web-deployment-76ddf5fcf9-nfnrk    Stopping container web
20m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-2gpj7    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-2gpj7 to worker-node-2
20m         Normal    Created             pod/web-deployment-76ddf5fcf9-2gpj7    Container created
20m         Normal    Started             pod/web-deployment-76ddf5fcf9-2gpj7    Container started
20m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-2gpj7    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
20m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-2gpj7
20m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-lp8tc    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
20m         Normal    Killing             pod/web-deployment-ddd46bfd-5nxqc      Stopping container web
20m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-lp8tc    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-lp8tc to worker-node-1
20m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-5nxqc
20m         Normal    Started             pod/web-deployment-76ddf5fcf9-lp8tc    Container started
20m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-lp8tc
20m         Normal    Created             pod/web-deployment-76ddf5fcf9-lp8tc    Container created
20m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-srz8l
20m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-262d6
20m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-262d6    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-262d6 to worker-node-2
20m         Normal    Started             pod/web-deployment-76ddf5fcf9-262d6    Container started
20m         Normal    Killing             pod/web-deployment-ddd46bfd-srz8l      Stopping container web
20m         Normal    Created             pod/web-deployment-76ddf5fcf9-262d6    Container created
20m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-262d6    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
20m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-xxg8n    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
20m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-xxg8n
20m         Normal    Killing             pod/web-deployment-ddd46bfd-jxkp5      Stopping container web
20m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-jxkp5
20m         Normal    Started             pod/web-deployment-76ddf5fcf9-xxg8n    Container started
20m         Normal    Created             pod/web-deployment-76ddf5fcf9-xxg8n    Container created
20m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-xxg8n    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-xxg8n to worker-node-1
20m         Normal    Killing             pod/web-deployment-ddd46bfd-4px7m      Stopping container web
20m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-876xn    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-876xn to worker-node-1
20m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-876xn    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
20m         Normal    Created             pod/web-deployment-76ddf5fcf9-876xn    Container created
20m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-4px7m
20m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-876xn
